,collection,brand,item,price_without_discount,discount,clean_price,maltiply
0,New Season,Versace,baroque-pattern tie-waist dress,875.0,0.0,875.0,1.0
1,New Season,Hunza G,seersucker square neck mini dress,235.0,0.0,235.0,1.0
2,,Off-White,ribbed midi dress,439.0,0.0,439.0,1.0
3,Conscious,Hunza G,Thema Nile seam-detail dress,222.0,0.0,222.0,1.0
4,,Charo Ruiz Ibiza,Cindy lace-trim maxi dress,655.0,0.0,655.0,1.0
5,,Charo Ruiz Ibiza,Vaiana off-shoulder minidress,458.0,0.0,458.0,1.0
6,,ZIMMERMANN,Dancer floral-print dress,906.0,0.0,906.0,1.0
7,,Isabel Marant Étoile,Jaena puff-sleeve long dress,547.0,0.0,547.0,1.0
8,,GAUGE81,Naha V-neck minidress,547.0,0.0,547.0,1.0
9,Conscious,Hunza G,Clara crinkle-stretch minidress,248.0,0.0,248.0,1.0
10,New Season,Agent Provocateur,sheer cover-up dress,248.0,0.0,248.0,1.0
11,New Season,Louisa Ballou,floral-print minidress,496.0,0.0,496.0,1.0
12,New Season,ZIMMERMANN,Postcard Lantern minidress,910.0,0.0,910.0,1.0
13,Conscious,Hunza G,Amelia Nile cutout dress,235.0,0.0,235.0,1.0
14,Conscious,Hunza G,Thema mini bodycon dress,235.0,0.0,235.0,1.0
15,New Season,ZIMMERMANN,Anneke wrap-front dress,826.0,0.0,826.0,1.0
16,Conscious,Totême,organic cotton maxi dress,254.0,0.0,254.0,1.0
17,New Season,ZIMMERMANN,floral-print wrap dress,720.0,0.0,720.0,1.0
18,New Season,ZIMMERMANN,Anneke paisley-print mini dress,722.0,0.0,722.0,1.0
19,New Season,Louisa Ballou,all-over abstract-print dress,788.0,0.0,788.0,1.0
20,,The Attico,wide-sleeve cotton shirt dress,587.0,30.0,411.0,0.7
21,New Season,Louisa Ballou,graphic-print maxidress,782.0,0.0,782.0,1.0
22,New Season,ROTATE,ruffle tiered strapless dress,356.0,0.0,356.0,1.0
23,Conscious,Hunza G,Polly seersucker halterneck mini dress,235.0,0.0,235.0,1.0
24,,ETRO,patchwork-print maxi shirt dress,1565.0,0.0,1565.0,1.0
25,New Season,Frankies Bikinis,graphic-print sleeveless dress,254.0,0.0,254.0,1.0
26,New Season,Jacquemus,Saudade draped dress,535.0,0.0,535.0,1.0
27,Conscious,ZIMMERMANN,Moonshine puff-sleeves belted dress,826.0,0.0,826.0,1.0
28,New Season,Ambra Maddalena,Ella asymmetrical knit dress,172.0,0.0,172.0,1.0
29,New Season,ZIMMERMANN,floral print pleated midi dress,977.0,0.0,977.0,1.0
30,Conscious,Reformation,Meadow polka dot midi dress,318.0,0.0,318.0,1.0
31,New Season,Polo Ralph Lauren,V-neck slip midi dress,489.0,0.0,489.0,1.0
32,,Louisa Ballou,Sublime Flower-print beach dress,750.0,0.0,750.0,1.0
33,New Season,Three Graces,Ada midi dress,756.0,0.0,756.0,1.0
34,New Season,Taller Marmo,Mrs. Ross fringed dress,1080.0,0.0,1080.0,1.0
35,New Season,BOTEH,Calico tunic mini dress,318.0,0.0,318.0,1.0
36,New Season,Louisa Ballou,Heatwave graphic print dress,445.0,0.0,445.0,1.0
37,New Season,Three Graces,Oonagh floral-embroidered midi dress,693.0,0.0,693.0,1.0
38,,Emilio Pucci,graphic-print mini dress,545.0,0.0,545.0,1.0
39,,Louisa Ballou,all-over graphic print dress,648.0,0.0,648.0,1.0
40,New Season,Jacquemus,Bahia knotted shirt minidress,575.0,0.0,575.0,1.0
41,New Season,Reformation,Carolena floral-print midi dress,292.0,0.0,292.0,1.0
42,New Season,Ambra Maddalena,Ella tiered lined maxi-dress,261.0,0.0,261.0,1.0
43,,Wolford,slit midi dress,244.0,0.0,244.0,1.0
44,,Missoni,zig-zag knit midi dress,756.0,0.0,756.0,1.0
45,,Dolce & Gabbana,scoop-neck rose-print dress,2095.0,0.0,2095.0,1.0
46,New Season,Aje,tie-dye shirt dress,343.0,0.0,343.0,1.0
47,New Season,Reformation,Seaside sleeveless midi dress,292.0,0.0,292.0,1.0
48,New Season,Reformation,Gitane square-neck midi dress,292.0,0.0,292.0,1.0
49,,ETRO,paisley-print midi dress,1345.0,0.0,1345.0,1.0
50,New Season,Bernadette,bow-detail mini dress,661.0,0.0,661.0,1.0
51,New Season,Asceno,halterneck day dress,483.0,0.0,483.0,1.0
52,New Season,Jacquemus,halterneck mini dress,540.0,0.0,540.0,1.0
53,,Balmain,jacquard-woven monogram dress,1658.0,0.0,1658.0,1.0
54,New Season,Reformation,Sable floral-print smocked midi dress,254.0,0.0,254.0,1.0
55,New Season,Marine Serre,Moon-print T-shirt dress,203.0,0.0,203.0,1.0
56,New Season,ZIMMERMANN,floral-print belted linen mini dress,756.0,0.0,756.0,1.0
57,New Season,Reformation,square-neck button-down mini dress,210.0,0.0,210.0,1.0
58,New Season,Maison Margiela,two-tone panelled shirtdress,767.0,0.0,767.0,1.0
59,New Season,Reformation,Zander floral-print linen dress,254.0,0.0,254.0,1.0
60,New Season,16Arlington,Odessa cutout feather-trim dress,1138.0,0.0,1138.0,1.0
61,New Season,Reformation,Alisal floral silk midi dress,388.0,0.0,388.0,1.0
62,New Season,Dolce & Gabbana,lace-panel sleeveless dress,2735.0,0.0,2735.0,1.0
63,Conscious,Aje,Psychedelia puff-sleeve cut-out mini dress,515.0,0.0,515.0,1.0
64,New Season,peony,floral-print midi dress,407.0,0.0,407.0,1.0
65,New Season,Off-White,logo straps V-neck mini dress,679.0,0.0,679.0,1.0
